Facility Name,Facility ID,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
HELEN KELLER MEMORIAL HOSPITAL,010019,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
HELEN KELLER MEMORIAL HOSPITAL,010019,AL,READM-30-COPD-HRRP,420,,1.0252,17.4208,16.9930,75,07/01/2015,06/30/2018
HELEN KELLER MEMORIAL HOSPITAL,010019,AL,READM-30-PN-HRRP,384,,0.9808,14.6481,14.9345,55,07/01/2015,06/30/2018
HELEN KELLER MEMORIAL HOSPITAL,010019,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
HELEN KELLER MEMORIAL HOSPITAL,010019,AL,READM-30-HF-HRRP,360,,1.0056,20.4614,20.3464,74,07/01/2015,06/30/2018
HELEN KELLER MEMORIAL HOSPITAL,010019,AL,READM-30-HIP-KNEE-HRRP,438,,1.1861,4.5149,3.8064,23,07/01/2015,06/30/2018
DALE MEDICAL CENTER,010021,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
DALE MEDICAL CENTER,010021,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
DALE MEDICAL CENTER,010021,AL,READM-30-COPD-HRRP,111,,0.9273,16.7412,18.0546,13,07/01/2015,06/30/2018
DALE MEDICAL CENTER,010021,AL,READM-30-PN-HRRP,127,,0.9673,15.0738,15.5827,17,07/01/2015,06/30/2018
DALE MEDICAL CENTER,010021,AL,READM-30-HF-HRRP,79,,1.0372,21.2604,20.4985,19,07/01/2015,06/30/2018
DALE MEDICAL CENTER,010021,AL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,READM-30-COPD-HRRP,N/A,,0.9801,15.1522,15.4601,Too Few to Report,07/01/2015,06/30/2018
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,READM-30-PN-HRRP,N/A,,0.9364,13.8062,14.7444,Too Few to Report,07/01/2015,06/30/2018
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-AMI-HRRP,366,,1.0266,16.2409,15.8193,61,07/01/2015,06/30/2018
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-HIP-KNEE-HRRP,623,,1.0540,4.3347,4.1126,28,07/01/2015,06/30/2018
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-CABG-HRRP,102,,1.2458,14.2658,11.4510,20,07/01/2015,06/30/2018
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-HF-HRRP,624,,0.9959,22.1558,22.2466,138,07/01/2015,06/30/2018
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-COPD-HRRP,240,,1.0586,23.1062,21.8267,60,07/01/2015,06/30/2018
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-PN-HRRP,239,,1.0626,18.7739,17.6681,49,07/01/2015,06/30/2018
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-HIP-KNEE-HRRP,316,,1.0628,4.0672,3.8268,14,07/01/2015,06/30/2018
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-CABG-HRRP,184,,1.1059,14.3583,12.9835,29,07/01/2015,06/30/2018
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-AMI-HRRP,269,,1.1262,17.4548,15.4995,54,07/01/2015,06/30/2018
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-HF-HRRP,523,,1.1643,24.7594,21.2661,139,07/01/2015,06/30/2018
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-COPD-HRRP,324,,0.9955,19.2432,19.3309,62,07/01/2015,06/30/2018
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-PN-HRRP,471,,1.1110,18.4574,16.6135,94,07/01/2015,06/30/2018
EAST ALABAMA MEDICAL CENTER,010029,AL,READM-30-HIP-KNEE-HRRP,719,,1.2467,4.9824,3.9966,40,07/01/2015,06/30/2018
EAST ALABAMA MEDICAL CENTER,010029,AL,READM-30-CABG-HRRP,N/A,,0.8012,9.8950,12.3506,Too Few to Report,07/01/2015,06/30/2018
EAST ALABAMA MEDICAL CENTER,010029,AL,READM-30-COPD-HRRP,477,,0.9050,17.2980,19.1144,75,07/01/2015,06/30/2018
EAST ALABAMA MEDICAL CENTER,010029,AL,READM-30-AMI-HRRP,253,,1.0189,14.9868,14.7083,39,07/01/2015,06/30/2018
EAST ALABAMA MEDICAL CENTER,010029,AL,READM-30-HF-HRRP,797,,0.9849,19.9387,20.2448,158,07/01/2015,06/30/2018
EAST ALABAMA MEDICAL CENTER,010029,AL,READM-30-PN-HRRP,547,,1.0726,16.8927,15.7493,97,07/01/2015,06/30/2018
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-AMI-HRRP,404,,0.9581,16.2208,16.9309,63,07/01/2015,06/30/2018
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-HIP-KNEE-HRRP,237,,1.0887,4.3846,4.0274,12,07/01/2015,06/30/2018
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-HF-HRRP,876,,1.0003,22.2582,22.2517,195,07/01/2015,06/30/2018
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-COPD-HRRP,302,,1.0324,20.7072,20.0571,65,07/01/2015,06/30/2018
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-CABG-HRRP,255,,1.1600,16.5337,14.2534,46,07/01/2015,06/30/2018
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-PN-HRRP,635,,1.0700,18.8090,17.5779,124,07/01/2015,06/30/2018
COMMUNITY HOSPITAL INC,010034,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
COMMUNITY HOSPITAL INC,010034,AL,READM-30-HF-HRRP,94,,0.9735,19.7905,20.3282,17,07/01/2015,06/30/2018
COMMUNITY HOSPITAL INC,010034,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
COMMUNITY HOSPITAL INC,010034,AL,READM-30-COPD-HRRP,84,,0.9712,16.8340,17.3338,12,07/01/2015,06/30/2018
COMMUNITY HOSPITAL INC,010034,AL,READM-30-PN-HRRP,79,,1.0058,14.7183,14.6328,12,07/01/2015,06/30/2018
COMMUNITY HOSPITAL INC,010034,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-PN-HRRP,551,,1.0815,16.4953,15.2524,96,07/01/2015,06/30/2018
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-HIP-KNEE-HRRP,252,,1.0535,4.3720,4.1499,12,07/01/2015,06/30/2018
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-AMI-HRRP,119,,1.0663,15.3628,14.4077,22,07/01/2015,06/30/2018
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-HF-HRRP,648,,1.0793,21.2042,19.6460,142,07/01/2015,06/30/2018
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-COPD-HRRP,405,,1.0195,17.6705,17.3325,73,07/01/2015,06/30/2018
ANDALUSIA HEALTH,010036,AL,READM-30-AMI-HRRP,N/A,,1.0023,19.5336,19.4886,Too Few to Report,07/01/2015,06/30/2018
ANDALUSIA HEALTH,010036,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
ANDALUSIA HEALTH,010036,AL,READM-30-COPD-HRRP,236,,1.0037,18.5259,18.4577,44,07/01/2015,06/30/2018
ANDALUSIA HEALTH,010036,AL,READM-30-HF-HRRP,200,,0.9041,19.5279,21.5984,33,07/01/2015,06/30/2018
ANDALUSIA HEALTH,010036,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0137,4.6060,4.5439,Too Few to Report,07/01/2015,06/30/2018
ANDALUSIA HEALTH,010036,AL,READM-30-PN-HRRP,267,,1.0111,15.4623,15.2918,42,07/01/2015,06/30/2018
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-AMI-HRRP,N/A,,0.9713,16.1858,16.6637,Too Few to Report,07/01/2015,06/30/2018
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-COPD-HRRP,273,,0.9084,15.7660,17.3556,36,07/01/2015,06/30/2018
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-HF-HRRP,150,,1.1217,23.2735,20.7481,42,07/01/2015,06/30/2018
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.2041,4.6321,3.8470,Too Few to Report,07/01/2015,06/30/2018
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-PN-HRRP,153,,1.0088,15.9666,15.8276,25,07/01/2015,06/30/2018
HUNTSVILLE HOSPITAL,010039,AL,READM-30-CABG-HRRP,515,,0.8993,11.1856,12.4381,55,07/01/2015,06/30/2018
HUNTSVILLE HOSPITAL,010039,AL,READM-30-AMI-HRRP,1118,,0.9653,13.2378,13.7137,146,07/01/2015,06/30/2018
HUNTSVILLE HOSPITAL,010039,AL,READM-30-COPD-HRRP,1473,,1.1223,21.6605,19.3001,328,07/01/2015,06/30/2018
HUNTSVILLE HOSPITAL,010039,AL,READM-30-PN-HRRP,1578,,1.1290,18.5585,16.4376,301,07/01/2015,06/30/2018
HUNTSVILLE HOSPITAL,010039,AL,READM-30-HIP-KNEE-HRRP,1742,,1.1683,4.4244,3.7869,80,07/01/2015,06/30/2018
HUNTSVILLE HOSPITAL,010039,AL,READM-30-HF-HRRP,1898,,0.9978,21.3979,21.4444,406,07/01/2015,06/30/2018
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-AMI-HRRP,229,,1.0386,16.0636,15.4661,39,07/01/2015,06/30/2018
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-CABG-HRRP,119,,1.0017,14.2483,14.2235,17,07/01/2015,06/30/2018
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-COPD-HRRP,446,,1.0432,20.5660,19.7143,95,07/01/2015,06/30/2018
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-HF-HRRP,455,,1.1255,26.4659,23.5154,128,07/01/2015,06/30/2018
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-HIP-KNEE-HRRP,463,,1.2454,5.3595,4.3035,29,07/01/2015,06/30/2018
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-PN-HRRP,621,,1.1045,19.3642,17.5322,127,07/01/2015,06/30/2018
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-COPD-HRRP,137,,0.9808,16.3615,16.6823,21,07/01/2015,06/30/2018
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-PN-HRRP,187,,0.9662,12.9180,13.3703,22,07/01/2015,06/30/2018
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-HF-HRRP,N/A,,0.9539,16.7273,17.5351,Too Few to Report,07/01/2015,06/30/2018
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
FAYETTE MEDICAL CENTER,010045,AL,READM-30-HF-HRRP,N/A,,0.9349,20.4134,21.8352,Too Few to Report,07/01/2015,06/30/2018
FAYETTE MEDICAL CENTER,010045,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
FAYETTE MEDICAL CENTER,010045,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
FAYETTE MEDICAL CENTER,010045,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
FAYETTE MEDICAL CENTER,010045,AL,READM-30-COPD-HRRP,149,,1.0451,21.1723,20.2590,35,07/01/2015,06/30/2018
FAYETTE MEDICAL CENTER,010045,AL,READM-30-PN-HRRP,101,,0.9960,17.0976,17.1668,17,07/01/2015,06/30/2018
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-COPD-HRRP,316,,1.1178,22.2562,19.9105,79,07/01/2015,06/30/2018
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-CABG-HRRP,N/A,,1.1920,18.6849,15.6751,Too Few to Report,07/01/2015,06/30/2018
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-AMI-HRRP,89,,1.0932,16.6294,15.2114,20,07/01/2015,06/30/2018
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9639,4.3873,4.5515,Too Few to Report,07/01/2015,06/30/2018
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-HF-HRRP,398,,1.1554,27.3013,23.6300,118,07/01/2015,06/30/2018
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-PN-HRRP,440,,1.0831,19.4527,17.9600,91,07/01/2015,06/30/2018
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-PN-HRRP,140,,1.0134,13.6846,13.5030,20,07/01/2015,06/30/2018
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-COPD-HRRP,175,,1.0217,16.2522,15.9078,30,07/01/2015,06/30/2018
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-HF-HRRP,137,,1.1051,21.8861,19.8043,36,07/01/2015,06/30/2018
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.8069,3.1621,3.9186,Too Few to Report,07/01/2015,06/30/2018
GREENE COUNTY HOSPITAL,010051,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
GREENE COUNTY HOSPITAL,010051,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
GREENE COUNTY HOSPITAL,010051,AL,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
GREENE COUNTY HOSPITAL,010051,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
GREENE COUNTY HOSPITAL,010051,AL,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
GREENE COUNTY HOSPITAL,010051,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-PN-HRRP,124,,1.0230,16.5460,16.1736,22,07/01/2015,06/30/2018
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-COPD-HRRP,82,,0.9895,21.7432,21.9732,17,07/01/2015,06/30/2018
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2015,06/30/2018
FLOWERS HOSPITAL,010055,AL,READM-30-HIP-KNEE-HRRP,519,,1.1266,4.3848,3.8921,25,07/01/2015,06/30/2018
FLOWERS HOSPITAL,010055,AL,READM-30-CABG-HRRP,N/A,,0.8761,10.1065,11.5358,Too Few to Report,07/01/2015,06/30/2018
FLOWERS HOSPITAL,010055,AL,READM-30-COPD-HRRP,431,,1.0392,19.7355,18.9919,88,07/01/2015,06/30/2018
FLOWERS HOSPITAL,010055,AL,READM-30-AMI-HRRP,283,,0.9083,12.1467,13.3732,29,07/01/2015,06/30/2018
FLOWERS HOSPITAL,010055,AL,READM-30-HF-HRRP,514,,1.0182,20.9943,20.6188,109,07/01/2015,06/30/2018
FLOWERS HOSPITAL,010055,AL,READM-30-PN-HRRP,547,,1.0059,15.4701,15.3801,85,07/01/2015,06/30/2018
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-COPD-HRRP,348,,0.9454,18.7650,19.8480,61,07/01/2015,06/30/2018
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-HF-HRRP,438,,0.8900,18.2492,20.5057,73,07/01/2015,06/30/2018
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-PN-HRRP,645,,0.9472,14.9691,15.8043,93,07/01/2015,06/30/2018
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-AMI-HRRP,216,,0.9959,14.4603,14.5195,31,07/01/2015,06/30/2018
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-HIP-KNEE-HRRP,1684,,1.0729,3.9003,3.6352,67,07/01/2015,06/30/2018
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-CABG-HRRP,114,,1.2258,15.5954,12.7222,23,07/01/2015,06/30/2018
